SubLocationId,SubLocationName,LocationId,Land_km2,Male,Female,TotalPopulation,HouseHolds,Density,PersonsPerHH,DomesticWaterDemandM3PerDay,LivestockWaterDemandM3PerDay,GrowthRateCorrection,CorrectedTotalPopulation
99,"Soit Naibor",6,70.7,354,232,586,126,8.28854314002829,4.65079365079365,8.79,17.58,1.24,727
100,"South Horr",28,137.1,1308,1406,2714,647,19.7957695113056,4.19474497681607,40.71,81.42,1.24,3365
101,"Suguta Marmar",29,99.6,1636,1754,3390,775,34.0361445783133,4.3741935483871,50.85,101.7,1.24,4204
102,"Suyan",30,143.2,430,293,723,158,5.04888268156425,4.57594936708861,10.845,21.69,1.24,897
103,"Swari",19,249.1,575,814,1389,333,5.5760738659173,4.17117117117117,20.835,41.67,1.24,1722
104,"Terter",18,126.1,450,479,929,206,7.36716891356067,4.50970873786408,13.935,27.87,1.24,1152
105,"Tinga",15,161,1734,1721,3455,789,21.4596273291925,4.37896070975919,51.825,103.65,1.24,4284
106,"Tuum",31,216.3,509,560,1069,247,4.9422098936662,4.32793522267206,16.035,32.07,1.24,1326
107,"Uaso Rongai",32,134.8,321,304,625,144,4.63649851632047,4.34027777777778,9.375,18.75,1.24,775
108,"Wamba Town",33,55.7,1919,2189,4108,879,73.7522441651706,4.67349260523322,61.62,123.24,1.24,5094
