Province,County,District,Year,Month,0-11 Under-WT,0-11 Totals,12-35 Under-WT,12-35 Totals,36-59 Under- WT,36-59 Totals,TOTAL UNDER-WEIGHTS,Grand Total Weighings,KWAR,MAR,OTHERS,CONSTANT /FALTERING ,Malnourished,NEW child clinic records,Total Clinc Att,%Kwash,%Mar,%Others,% UNDERWEIGHT,NO.REPORTED,TOTAL NO. OF H. FACILITIES,REPORTING RATE%,DATE RECEIVED,AGE GROUP,POP,GMP TARGETS,%TARGETS,POP.PROJECTION
Rift Valley,West Pokot,West Pokot,2004,November,122,3166,40,281,23,122,185,3569,6,6,24,11,47,1040,3509,0.2%,0.2%,0.7%,5.2,,,,,,,,,
Rift Valley,West Pokot,West Pokot,2004,December,134,3012,42,312,9,175,185,3499,6,5,7,8,26,939,3386,0.2%,0.1%,0.2%,5.3,,,,,,,,,
Rift Valley,West Pokot,West Pokot,2005,January,182,3880,33,265,9,88,224,4233,5,4,27,23,59,1347,4777,0.1%,0.1%,0.6%,5.3,,,,,,,,,
Rift Valley,West Pokot,West Pokot,2005,February,225,4621,72,263,25,124,322,5008,1,4,11,21,37,1224,4837,0.0%,0.1%,0.2%,6.4,,,,,,,,,
Rift Valley,West Pokot,West Pokot,2005,March,122,3915,33,314,12,156,167,4385,16,16,34,19,85,1166,4594,0.3%,0.3%,0.7%,3.8,,,,,,,,,
Rift Valley,West Pokot,West Pokot,2005,April,142,3991,27,189,2,61,171,4241,2,0,15,14,31,1073,4461,0.0%,0.0%,0.3%,4.0,,,,,,,,,
Rift Valley,West Pokot,West Pokot,2005,May,76,3314,11,155,2,56,89,3525,1,2,13,5,21,1282,3280,0.0%,0.1%,0.4%,2.5,,,,,,,,,
Rift Valley,West Pokot,West Pokot,2005,June,140,4288,37,269,5,111,182,4668,9,0,8,20,37,1271,4391,0.2%,0.0%,0.2%,3.9,,,,,,,,,
Rift Valley,West Pokot,West Pokot,2005,July,128,4253,30,336,9,106,167,4695,3,0,10,15,28,1166,4458,0.1%,0.0%,0.2%,3.6,,,,,,,,,
Rift Valley,West Pokot,West Pokot,2005,August,107,3207,26,252,0,23,133,3482,0,0,3,11,14,1002,3672,0.0%,0.0%,0.1%,3.8,,,,,,,,,
Rift Valley,West Pokot,West Pokot,2005,September,121,4888,54,317,0,39,175,5244,1,1,2,17,21,1203,4703,0.0%,0.0%,0.0%,3.3,,,,,,,,,
